prof,indice,age,sex,ema,phd,direct,teaching,research,p1,p2,p3,p4,r1,r2,r3,r4,r5
1,20,60,1,0,1,1,4,2,0,0,0,1,0,1,0,0,0
2,20,53,1,0,1,1,3,3,0,0,1,0,0,0,1,0,0
3,20,52,1,1,1,1,4,2,0,0,0,1,0,1,0,0,0
4,20,50,1,0,1,0,4,5,0,0,0,1,0,0,0,0,1
5,20,48,1,0,1,0,4,5,0,0,0,1,0,0,0,0,1
6,20,48,1,1,1,1,4,1,0,0,0,1,1,0,0,0,0
7,19,55,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0
8,18,59,1,0,0,0,3,3,0,0,1,0,0,0,1,0,0
9,18,55,1,0,1,0,4,2,0,0,0,1,0,1,0,0,0
10,18,48,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0
11,18,47,1,0,1,0,4,5,0,0,0,1,0,0,0,0,1
12,17,51,1,1,0,0,4,2,0,0,0,1,0,1,0,0,0
13,17,49,1,0,1,0,4,4,0,0,0,1,0,0,0,1,0
14,17,49,1,1,1,0,3,4,0,0,1,0,0,0,0,1,0
15,17,48,1,1,1,0,4,5,0,0,0,1,0,0,0,0,1
16,17,48,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0
17,17,46,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0
18,17,46,1,1,1,0,4,5,0,0,0,1,0,0,0,0,1
19,17,46,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0
20,17,46,1,1,0,0,4,2,0,0,0,1,0,1,0,0,0
21,16,52,1,1,0,0,4,3,0,0,0,1,0,0,1,0,0
22,16,51,1,0,0,1,3,2,0,0,1,0,0,1,0,0,0
23,16,48,1,1,1,1,4,1,0,0,0,1,1,0,0,0,0
24,16,47,1,1,0,1,3,1,0,0,1,0,1,0,0,0,0
25,15,62,1,0,0,1,4,1,0,0,0,1,1,0,0,0,0
26,15,54,1,1,0,0,3,3,0,0,1,0,0,0,1,0,0
27,15,54,1,0,1,0,4,2,0,0,0,1,0,1,0,0,0
28,15,52,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0
29,15,52,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0
30,15,52,1,0,1,1,4,1,0,0,0,1,1,0,0,0,0
31,15,52,1,1,1,0,3,1,0,0,1,0,1,0,0,0,0
32,15,50,1,1,1,1,4,4,0,0,0,1,0,0,0,1,0
33,15,50,1,1,0,0,4,2,0,0,0,1,0,1,0,0,0
34,15,50,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0
35,15,49,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0
36,15,48,1,1,1,0,4,4,0,0,0,1,0,0,0,1,0
37,14,61,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0
38,14,57,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0
39,14,51,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0
40,14,48,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0
41,14,41,1,0,1,1,4,2,0,0,0,1,0,1,0,0,0
42,14,38,1,1,1,0,4,5,0,0,0,1,0,0,0,0,1
43,13,56,1,0,1,0,4,3,0,0,0,1,0,0,1,0,0
44,13,56,1,0,1,0,3,2,0,0,1,0,0,1,0,0,0
45,13,52,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0
46,13,51,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0
47,13,51,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0
48,13,50,0,0,1,0,3,4,0,0,1,0,0,0,0,1,0
49,13,47,1,0,1,1,3,1,0,0,1,0,1,0,0,0,0
50,13,37,1,0,1,1,4,5,0,0,0,1,0,0,0,0,1
51,12,61,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0
52,12,48,1,0,1,0,3,1,0,0,1,0,1,0,0,0,0
53,12,47,1,1,0,1,4,2,0,0,0,1,0,1,0,0,0
54,12,43,1,0,1,0,2,4,0,1,0,0,0,0,0,1,0
55,12,40,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0
56,11,58,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0
57,11,52,1,0,1,0,1,3,1,0,0,0,0,0,1,0,0
58,11,51,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0
59,11,48,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0
60,10,54,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0
61,10,52,1,0,0,0,3,1,0,0,1,0,1,0,0,0,0
62,10,51,1,1,0,0,4,1,0,0,0,1,1,0,0,0,0
63,10,49,1,0,1,0,4,1,0,0,0,1,1,0,0,0,0
64,10,45,1,1,0,0,3,1,0,0,1,0,1,0,0,0,0
65,10,43,1,0,1,0,4,2,0,0,0,1,0,1,0,0,0
66,10,38,1,0,1,0,4,3,0,0,0,1,0,0,1,0,0
67,10,37,0,0,1,0,4,4,0,0,0,1,0,0,0,1,0
68,9,55,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0
69,9,51,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0
70,9,47,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0
