street,surface,price
censier,28,130
contrescarpe,50,280
rue saint-simon,106,650
rapp,196,800
saint-andre des arts,55,268
"5-ieme, pres quais",190,790
gobelins,110,500
gobelins,60,320
censier,48,250
pantheon,35,250
rue madame,86,350
rue de seine,65,300
pantheon,32,155
sevres-babylone,52,245
montparnasse,40,200
rue d-assas,260,1500
saint-germain,70,325
ile saint-louis,117,950
jussieu,90,378
quartier-latin,30,78
montparnasse,105,375
rue mazarine,52,200
censier,80,270
assas luxembourg,60,295
jardins de l-observatoire,140,990
rue de savoie,20,85
pres luxembourg,100,495
gobelins,28,85
