temperature,sun,heat,rain,quality
3064,1201,10,361,2
3000,1053,11,338,3
3155,1133,19,393,2
3085,970,4,467,3
3245,1258,36,294,1
3267,1386,35,225,1
3080,966,13,417,3
2974,1189,12,488,3
3038,1103,14,677,3
3318,1310,29,427,2
3317,1362,25,326,1
3182,1171,28,326,3
2998,1102,9,349,3
3221,1424,21,382,1
3019,1230,16,275,2
3022,1285,9,303,2
3094,1329,11,339,2
3009,1210,15,536,3
3227,1331,21,414,2
3308,1366,24,282,1
3212,1289,17,302,2
3361,1444,25,253,1
3061,1175,12,261,2
3478,1317,42,259,1
3126,1248,11,315,2
3458,1508,43,286,1
3252,1361,26,346,2
3052,1186,14,443,3
3270,1399,24,306,1
3198,1259,20,367,1
2904,1164,6,311,3
3247,1277,19,375,1
3083,1195,5,441,3
3043,1208,14,371,3
