Breed,Size,Weight,Speed,Intelligence,Affection,Aggressivity,Function
beauceron,3,2,3,2,2,2,3
basset,1,1,1,1,1,2,2
berger allemand,3,2,3,3,2,2,3
boxer,2,2,2,2,2,2,1
bull-dog,1,1,1,2,2,1,1
bull-mastiff,3,3,1,3,1,2,3
caniche,1,1,2,3,2,1,1
chihuahua,1,1,1,1,2,1,1
cocker,2,1,1,2,2,2,1
colley,3,2,3,2,2,1,1
dalmatien,2,2,2,2,2,1,1
dobermann,3,2,3,3,1,2,3
dogue allemand,3,3,3,1,1,2,3
epagneul breton,2,2,2,3,2,1,2
epagneul francais,3,2,2,2,1,1,2
fox-hound,3,2,3,1,1,2,2
fox-terrier,1,1,2,2,2,2,1
grd bleu de gasc,3,2,2,1,1,2,2
labrador,2,2,2,2,2,1,2
levrier,3,2,3,1,1,1,2
mastiff,3,3,1,1,1,2,3
pekinois,1,1,1,1,2,1,1
pointer,3,2,3,3,1,1,2
saint-bernard,3,3,1,2,1,2,3
setter,3,2,3,2,1,1,2
teckel,1,1,1,2,2,1,1
terre-neuve,3,3,1,2,1,1,3
