Activity,FranceSoir,QuotRegional,Chasseur,LExpress,Elle,FemmesAujourdhui,FranceDimanche,JoursFrance,MarieClaire,MarieFrance,ModesTravaux,Nousdeux,ParisMatch,Pelerin,PourVousmadame,SalutCopains,Selection,TeleProche,Tele7jours,VieCatholique
Rent,896,859,873,892,919,884,867,911,922,910,892,849,909,834,850,799,914,836,873,854
Vacations,858,647,719,869,883,783,858,854,864,829,765,708,821,546,757,795,845,744,782,739
Travel,579,464,562,741,771,596,426,687,691,643,529,466,641,366,517,613,599,547,575,500
Driving,266,400,435,528,487,503,347,485,535,483,465,372,489,392,464,537,487,500,453,363
Cinema,556,400,427,599,684,446,402,571,595,527,478,474,571,304,434,593,494,530,454,447
Radio,635,653,670,722,631,728,699,751,730,733,700,734,697,668,729,758,667,733,685,713
Television,736,772,804,717,660,760,832,793,776,758,769,833,707,669,763,658,752,843,831,704
Theatre,592,343,412,570,722,337,307,584,582,531,434,284,540,233,324,311,517,373,452,428
Music,732,591,612,761,752,692,589,752,755,743,650,652,747,536,685,702,731,695,659,677
News,671,712,730,772,853,802,728,810,810,779,731,704,777,690,712,806,775,749,695,768
Books,776,590,660,786,837,740,554,762,789,773,666,698,773,619,632,648,771,640,663,695
Cooking,677,750,754,699,562,693,732,665,715,722,756,793,685,696,742,696,719,756,721,633
Knitting,535,549,624,472,340,568,584,495,517,536,624,585,467,528,553,394,518,548,515,517
DoItYourself,559,582,583,541,446,597,619,530,582,582,599,603,512,555,609,487,625,586,543,530
Shopping,591,639,673,656,675,699,691,687,736,658,668,648,656,577,678,818,629,704,646,621
Couture,404,455,542,393,349,507,531,368,446,436,540,419,407,450,437,384,445,441,422,482
Jardin,482,563,667,533,510,533,574,521,541,556,585,512,559,572,520,361,585,529,539,566
Restaurant,451,389,416,556,610,404,404,592,563,528,420,415,555,274,453,436,539,434,475,320
Cafe,124,124,112,203,185,138,116,192,178,195,133,178,138,96,175,271,135,150,160,95
Friend,611,579,656,776,768,625,568,781,742,730,657,605,777,564,615,757,680,593,690,593
Museums,469,341,459,514,630,446,356,564,488,518,421,333,568,322,383,317,499,344,396,504
Dancing,322,284,318,375,335,295,268,395,397,333,340,379,384,203,408,582,332,429,332,263
Camping,218,285,299,342,289,284,233,307,353,299,314,323,325,227,345,465,350,398,296,321
Sunbathing,438,344,383,607,616,395,331,546,568,501,437,416,526,213,447,507,490,502,444,337
Photo,351,269,384,358,311,356,338,326,335,332,365,352,325,146,380,400,370,445,324,203
Hunting,70,42,94,108,86,87,23,78,97,86,64,75,91,48,80,68,61,76,57,59
Fishing,142,113,122,101,74,93,93,85,113,88,128,144,94,76,119,92,102,118,88,78
Pets,417,461,473,535,507,441,467,487,548,499,972,538,487,450,474,508,520,488,504,448
Gifts,736,730,757,842,860,824,742,823,834,840,798,783,831,717,796,822,802,801,791,803
Party,686,751,768,706,721,672,765,748,754,777,768,802,773,748,837,846,761,741,754,843
Kids,654,642,687,716,718,720,680,677,732,731,732,704,684,609,747,771,715,786,670,754
Weekend,790,584,599,818,810,696,539,756,790,773,687,726,755,544,690,777,757,747,689,580
Religion,306,463,475,361,410,457,288,404,379,414,403,343,464,723,425,282,392,347,338,724
Sport,269,248,343,441,507,357,219,427,452,365,355,257,381,183,318,427,371,315,325,320
