drink,buy,sweet,consumption
Koka-cola,no,agree,4
Rola-cola,yes,not_sure,8
Koka-cola,no,disagree,2
Rola-cola,yes,not_sure,10
Rola-cola,no,agree,7
Rola-cola,yes,disagree,6
Koka-cola,no,agree,4
Rola-cola,no,agree,3
Koka-cola,no,not_sure,3
Rola-cola,no,agree,5
Rola-cola,yes,not_sure,7
Rola-cola,yes,disagree,13
Rola-cola,yes,agree,6
Koka-cola,no,agree,2
Koka-cola,no,disagree,7
Rola-cola,yes,not_sure,9
Koka-cola,no,disagree,1
Rola-cola,yes,agree,5
Rola-cola,no,not_sure,4
Rola-cola,no,not_sure,12
Koka-cola,no,agree,4
Rola-cola,yes,disagree,9
Rola-cola,yes,disagree,3
Koka-cola,no,disagree,2
Koka-cola,no,not_sure,5
Rola-cola,yes,agree,7
Koka-cola,no,agree,7
Rola-cola,yes,not_sure,8
Rola-cola,yes,disagree,6
Koka-cola,no,disagree,3
Koka-cola,yes,not_sure,10
Rola-cola,yes,agree,8
Koka-cola,yes,not_sure,4
Rola-cola,no,not_sure,5
Rola-cola,yes,disagree,3
Koka-cola,no,agree,11
Rola-cola,yes,disagree,9
Rola-cola,no,agree,6
Koka-cola,no,disagree,2
Rola-cola,yes,not_sure,5
