Semester,MT,RG,PRICE,BR,INV,PUB,FV,TPUB,SALES
1,398,138,56,12,50,77,229,98,5540
2,369,118,59,9,17,89,177,225,5439
3,268,129,57,29,89,51,166,263,4290
4,484,111,58,13,107,40,258,321,5502
5,394,146,59,13,143,52,209,407,4872
6,332,140,60,11,61,21,180,247,4708
7,336,136,60,25,-30,40,213,328,4627
8,383,104,60,21,-45,32,201,298,4110
9,285,105,63,8,-28,12,176,218,4123
10,277,135,62,11,76,68,175,410,4842
11,456,128,65,22,144,52,253,93,5741
12,355,131,65,24,113,77,208,307,5094
13,364,120,64,14,128,96,195,107,5383
14,320,147,66,15,10,48,154,305,4888
15,311,143,67,22,-25,27,181,60,4033
16,362,145,67,23,117,73,220,239,4942
17,408,131,66,13,120,62,235,141,5313
18,433,124,68,8,122,25,258,291,5140
19,359,106,69,27,71,74,196,414,5397
20,476,138,71,18,4,63,279,206,5149
21,415,148,69,8,47,29,207,80,5151
22,420,136,70,10,8,91,213,429,4989
23,536,111,73,27,128,74,296,273,5927
24,432,152,73,16,-50,16,245,309,4704
25,436,123,73,32,100,43,276,280,5366
26,415,119,75,20,-40,41,211,315,4630
27,462,112,73,15,68,93,283,212,5712
28,429,125,74,11,88,83,218,118,5095
29,517,142,74,27,27,75,307,345,6124
30,328,123,77,20,59,88,211,141,4787
31,418,135,79,35,142,74,270,83,5036
32,515,120,77,23,126,21,328,398,5288
33,412,149,78,36,30,26,258,124,4647
34,455,126,78,22,18,95,233,118,5316
35,554,138,81,20,42,93,324,161,6180
36,441,120,80,16,-22,50,267,405,4801
37,417,120,81,35,148,83,257,111,5512
38,461,132,82,27,-18,91,267,170,5272
39,500,100,83,30,50,90,300,200,
